Team2019,Finish,Player,Votes
Adelaide,1, Brad Crouch ,208
Adelaide,2, Rory Slone ,203
Adelaide,3, Rory Laird ,191
Adelaide,4, Matt Crouch ,180
Adelaide,5, Brodie Smith ,179
Adelaide,6, Daniel Talia ,165
Adelaide,7, Taylor Walker ,148
Adelaide,8, Rory Atkins ,129
Adelaide,9, Alex Keath ,127
Adelaide,10, David Mackay ,119
Brisbane Lions,1, Lachie Neale ,386
Brisbane Lions,2, Dayne Zorko ,348
Brisbane Lions,3, Hugh McCluggage ,322
Brisbane Lions,4, Jarryd Lyons ,298
Brisbane Lions,5, Daniel Rich ,289
Brisbane Lions,6, Charlie Cameron ,280
Brisbane Lions,7, Stefan Martin ,275
Brisbane Lions,8, Darcy Gardiner ,271
Brisbane Lions,9, Mitch Robinson ,269
Brisbane Lions,10, Harris Andrews ,245
Carlton,1, Patrick Cripps ,143
Carlton,2, Ed Curnow ,138
Carlton,3, Lachie Plowman ,134
Carlton,4, Sam Walsh ,125
Carlton,5, Levi Casboult ,116
Carlton,6, Jacob Weitering ,110
Carlton,7, Liam Jones ,95
Carlton,8, Marc Murphy ,88
Carlton,9, Kade Simpson ,87
Carlton,10, Sam Petrevski-Seton ,68
Collingwood,1, Brodie Grundy ,174
Collingwood,2, Scott Pendlebury ,158
Collingwood,3, Jack Crisp,147
Collingwood,4, Adam Treloar,141
Collingwood,5, Brayden Maynard,124
Collingwood,6, Steele Sidebottom,118
Collingwood,7, Tom Phillips,116
Collingwood,8, Jeremy Howe,115
Collingwood,9, Brody Mihocek,106
Collingwood,10, Jordan Roughead,105
Essendon,1, Zach Merrett ,427
Essendon,2, Dylan Shiel ,389
Essendon,3, Adam Saad ,376
Essendon,4, Conor McKenna ,361
Essendon,5, Dyson Heppell ,353
Essendon,6, Andrew McGrath ,343
Essendon,7, Patrick Ambrose ,324
Essendon,8, Anthony McDonald-Tipungwuti ,321
Essendon,9, Darcy Parish ,313
Essendon,10, Michael Hurley ,307
Fremantle,1, Nat Fyfe ,272
Fremantle,2, Michael Walters ,238
Fremantle,3, Bradley Hill ,207
Fremantle,4, David Mundy ,186
Fremantle,5, Ed Langdon ,155
Fremantle,6, Luke Ryan ,139
Fremantle,7, Joel Hamling ,125
Fremantle,8, Rory Lobb ,120
Fremantle,9, Andrew Brayshaw ,109
Fremantle,10, Darcy Tucker ,108
Geelong,1, Patrick Dangerfield ,268
Geelong,2, Tim Kelly ,259.5
Geelong,3, Tom Stewart ,251
Geelong,4, Tom Hawkins ,250
Geelong,5, Mark Blicavs ,247
Geelong,6, Luke Dahlhaus ,245
Geelong,7, Gary Ablett ,241.5
Geelong,8, Mitch Duncan ,240.5
Geelong,9, Joel Selwood ,239
Geelong,10, Gryan Miers ,238
Gold Coast,1, Jarrod Witts ,553
Gold Coast,2, David Swallow ,417
Gold Coast,3, Darcy MacPherson ,368
Gold Coast,4, Jarrod Harbrow ,367
Gold Coast,5, Brayden Fiorini ,315
Gold Coast,6, Touk Miller ,288
Gold Coast,7, Anthony Miles ,257
Gold Coast,8, Pearce Hanley ,251
Gold Coast,9, Charlie Ballard ,214
Gold Coast,10, Jack Hombsch ,212
GWS,1, Tim Taranto ,222
GWS,2, Jeremy Cameron ,220
GWS,3, Jacob Hopper ,218
GWS,4, Nick Haynes ,206
GWS,5, Zac Williams ,203
GWS,6, Matt de Boer ,192
GWS,7, Lachie Whitfield ,183
GWS,8, Toby Greene ,180
GWS,9, Phil Davis ,167
GWS,10, Jeremy Finlayson ,164
Hawthorn,1, James Worpel ,115
Hawthorn,2, Ricky Henderson ,104
Hawthorn,3, Jaeger OÕMeara ,103
Hawthorn,4, James Sicily ,100
Hawthorn,5, Blake Hardwick ,90
Hawthorn,6, Jarman Impey ,85
Hawthorn,7, Liam Shiels ,78
Hawthorn,8, Ben McEvoy ,75
Hawthorn,9, Luke Breust ,73
Hawthorn,10, Ben Stratton ,63
Melbourne,1, Max Gawn ,464
Melbourne,1,Clayton Oliver ,464
Melbourne,3, Jack Viney ,323
Melbourne,4, James Harmes ,319
Melbourne,5, Christian Petracca ,293
Melbourne,6, Bayley Fritsch ,230
Melbourne,7, Christian Salem ,213
Melbourne,8, Angus Brayshaw ,210
Melbourne,9, Sam Frost ,204
Melbourne,10, Jayden Hunt ,199
North Melbourne,1, Ben Cunnington,242
North Melbourne,2, Robbie Tarrant,227
North Melbourne,3, Todd Goldstein,192
North Melbourne,4, Trent Dumont,192
North Melbourne,5, Ben Brown,190
North Melbourne,6, Jack Ziebell,190
North Melbourne,7, Jared Polec,184
North Melbourne,8, Shaun Higgins,170
North Melbourne,9, Jasper Pittard,169
North Melbourne,10, Shaun Atley,158
Port Adelaide,1, Travis Boak ,179
Port Adelaide,2, Darcy Byrne-Jones ,168
Port Adelaide,3, Dan Houston ,167
Port Adelaide,4, Connor Rozee ,131
Port Adelaide,5, Tom Clurey ,130
Port Adelaide,5, Tom Jonas ,130
Port Adelaide,7, Tom Rockliff ,114
Port Adelaide,8, Ryan Burton ,113
Port Adelaide,9, Xavier Duursma ,111
Port Adelaide,10, Robbie Gray ,110
Richmond,1, Dion Prestia ,91
Richmond,2, Shane Edwards ,79
Richmond,3, Dylan Grimes ,75
Richmond,4, Nick Vlastuin ,70
Richmond,5, Tom Lynch ,69
Richmond,6, Dustin Martin ,67
Richmond,7, Kane Lambert ,63
Richmond,8, Bachar Houli ,59
Richmond,9, David Astbury ,55
Richmond,10, Jason Castagna ,47
Richmond,10, Daniel Rioli ,47
St Kilda,1, Seb Ross ,170
St Kilda,2, Rowan Marshall ,152
St Kilda,3, Jack Steele ,151
St Kilda,4, Jack Billings ,140
St Kilda,5, Tim Membrey ,136
St Kilda,6, Jade Gresham ,131
St Kilda,7, Callum Wilkie ,115
St Kilda,8, Luke Dunstan ,111
St Kilda,9, Josh Bruce ,108
St Kilda,10, Shane Savage ,101
Sydney,1, Dane Rampe ,581
Sydney,2, George Hewett ,461
Sydney,3, Luke Parker ,458
Sydney,4, Tom Papley ,457
Sydney,5, Callum Mills ,429
Sydney,6, Isaac Heeney ,420
Sydney,7, Jake Lloyd ,408
Sydney,8, Aliir Aliir ,388
Sydney,9, Jordan Dawson ,383
Sydney,10, Josh Kennedy ,351
West Coast,1, Luke Shuey,258
West Coast,2, Elliot Yeo,239
West Coast,3, Brad Sheppard,234
West Coast,4, Andrew Gaff,231
West Coast,5, Jack Darling,199
West Coast,6, Jeremy McGovern,198
West Coast,7, Liam Ryan,190
West Coast,8, Dom Sheed,182
West Coast,9, Shannon Hurn,177
West Coast,10, Jack Redden,164
Footscray,1, Marcus Bontempelli ,299
Footscray,2, Josh Dunkley ,270
Footscray,3, Jack Macrae ,268
Footscray,4, Jason Johannisen ,174
Footscray,5, Caleb Daniel ,164
Footscray,6, Lachie Hunter ,161
Footscray,7, Easton Wood ,160
Footscray,8, Aaron Naughton ,154
Footscray,9, Sam Lloyd ,153
Footscray,10, Hayden Crozier ,141
