"team","No","Name","Games","Age.","Date.of.Birth.","Height","Weight","Origin","Position","age_start_season"
"ADELAIDE CROWS",21,"Atkins, Rory
",97,"25yr 4mth",1994-07-12,"186cm","85kg","Calder Cannons","
Midfield
",25.7041095890411
"ADELAIDE CROWS",16,"Brown, Luke
",150,"27yr 2mth",1992-09-22,"181cm","81kg","Norwood","
Defender
",27.5068493150685
"ADELAIDE CROWS",41,"Butts, Jordon
R
",0,"19yr 11mth",1999-12-31,"198cm","86kg","Murray Bushrangers","
Defender
Forward
",20.2301369863014
"ADELAIDE CROWS",39,"Crocker, Ben
R
",26,"22yr 9mth",1997-02-19,"188cm","83kg","Oakleigh Chargers","
Forward
",23.0931506849315
"ADELAIDE CROWS",2,"Crouch, Brad
",83,"25yr 10mth",1994-01-14,"186cm","85kg","North Ballarat Rebels","
Midfield
",26.1945205479452
"ADELAIDE CROWS",5,"Crouch, Matt
",109,"24yr 7mth",1995-04-21,"182cm","80kg","North Ballarat Rebels","
Midfield
",24.9287671232877
"ADELAIDE CROWS",40,"Davis, Ben
",1,"22yr 6mth",1997-05-19,"187cm","82kg","UNSW","
Forward
",22.8493150684932
"ADELAIDE CROWS",39,"Doedee, Tom
",21,"22yr 9mth",1997-03-01,"188cm","88kg","Geelong Falcons","
Defender
",23.0657534246575
"ADELAIDE CROWS",32,"Fogarty, Darcy
",14,"20yr 2mth",1999-09-25,"193cm","94kg","Glenelg","
Forward
",20.4958904109589
"ADELAIDE CROWS",14,"Frampton, Billy
",3,"23yr ",1996-11-20,"200cm","96kg","South Fremantle","
Ruck
",23.3424657534247
"ADELAIDE CROWS",7,"Gallucci, Jordan
",27,"21yr 6mth",1998-05-04,"182cm","76kg","Eastern Ranges","
Forward
",21.8904109589041
"ADELAIDE CROWS",6,"Gibbs, Bryce
",265,"30yr 8mth",1989-03-15,"188cm","84kg","Glenelg","
Midfield
",31.0328767123288
"ADELAIDE CROWS",0,"Gollant, Lachlan
",0,"18yr 2mth",2001-09-12,"191cm","72kg","Calder Cannons"," ",18.5287671232877
"ADELAIDE CROWS",35,"Hamill, Will
",0,"19yr ",2000-11-17,"186cm","71kg","Dandenong Stingrays","
Defender
",19.3479452054795
"ADELAIDE CROWS",15,"Hartigan, Kyle
",101,"28yr ",1991-11-07,"194cm","98kg","Werribee","
Defender
",28.3835616438356
"ADELAIDE CROWS",34,"Himmelberg, Elliott
",8,"21yr 5mth",1998-06-04,"198cm","94kg","Redlands","
Forward
",21.8054794520548
"ADELAIDE CROWS",20,"Jones, Chayce
",8,"19yr 10mth",2000-01-14,"180cm","77kg","Launceston","
Midfield
",20.1917808219178
"ADELAIDE CROWS",1,"Keays, Ben
R
",30,"22yr 9mth",1997-02-23,"185cm","82kg","Brisbane Reserves","
Midfield
",23.0821917808219
"ADELAIDE CROWS",8,"Kelly, Jake
",75,"24yr 10mth",1995-01-21,"190cm","89kg","Oakleigh Chargers","
Defender
",25.1753424657534
"ADELAIDE CROWS",3,"Knight, Riley
",54,"24yr 8mth",1995-03-27,"181cm","80kg","Woodville West Torrens","
Midfield
Forward
",24.9972602739726
"ADELAIDE CROWS",29,"Laird, Rory
",143,"25yr 11mth",1993-12-29,"177cm","81kg","West Adelaide","
Defender
",26.2383561643836
"ADELAIDE CROWS",27,"Lynch, Tom
",139,"29yr 2mth",1990-09-15,"193cm","88kg","Sandringham Dragons","
Forward
",29.5287671232877
"ADELAIDE CROWS",14,"MacKay, David
",220,"31yr 4mth",1988-07-25,"181cm","77kg","Oakleigh","
Defender
",31.6712328767123
"ADELAIDE CROWS",23,"McAdam, Shane
",0,"24yr 6mth",1995-05-28,"181cm","78kg","Sturt","
Forward
",24.827397260274
"ADELAIDE CROWS",0,"McAsey, Fischer
",0,"18yr 8mth",2001-03-08,"195cm","86kg","Sandringham Dragons","
Defender
Forward
",19.0438356164384
"ADELAIDE CROWS",25,"McHenry, Ned
",0,"19yr 4mth",2000-07-13,"179cm","70kg","Geelong Falcons","
Midfield
Forward
",19.6958904109589
"ADELAIDE CROWS",36,"McPherson, Andrew
",0,"20yr 5mth",1999-06-20,"186cm","79kg","Wwt Eagles","
Defender
",20.7616438356164
